Seconds,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney L,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Kidney R,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Liver,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Aorta Wall,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Ventricle,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Myocardium,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Gall Bladder,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas,Pancreas
14,0.762259,0,0.04316,0.108793,0,0.0000658,0,0.07264,0,0.002811,0,0.003044,0,0,0.0000145,0.0000145,0,0,0,0,0,0.000866,0.877777,0.656083,0,0,0.003585,0,0,0,0.0268,0,0,0,0.003072,0,0,0,0,0,0,0,0.001885,0,0.001618,0.816098,0.346463,0.016398,0.15785,0.043449,0.062698,0.02181,0,0.490074,0.895612,0.263341,0.425223,0.169099,0,0,0,0,0.001254,0.035963,0,0.006735,0.043103,0.498953,3.047557,5.330403,0,0.025909,0.000386,0,0,0,1.395734,0.028861,0.124812,0.215151,0.868083,0,0,0,0,0,0,0,0,0.069801,0.489619,13.14979,1.586176,0.000626,0.035355,0,0,0,0,0.318557,0.016176,0.021049,0,0.047149,0,0,0,0,0,0,0,0,0.03225,0.179912,3.744346,9.122384,10.92587,16.70843,2.184871,0.958892,0,0,8.125219,5.785719,1.076888,1.612523,5.688896,0,0,0,0,0,0.001414,0,0,0.24371,4.199969,22.4441,3.868891,1.126931,1.540804,0.390597,1.354791,0,0,5.650087,9.812528,1.45771,3.052161,3.052681,0,0,0,0,0,0.249128,0,0,0.964894,5.046922,21.63668,0.131493,0,0,0.377494,0,0.886558,0,0,0,0,0,0.009568,0,0,0,0,0,0,0,0,0,0,0.016812,0.433726,0,0,0.018667,0,0,0,0.314855,0,0.003352,0,0.07545,0,0,0,0,0,0,0,0,0,0.039694,2.535144
24.05021,3.637022,2.158836,1.519973,0.487227,1.220594,0.006181,0,2.927916,5.360645,1.309255,1.039999,1.998205,0,0.012315,0.0000575,0.0000575,0.004465,0,0,0,0.535173,2.027818,9.004998,3.438956,1.631707,1.844723,0.369292,1.17021,0.002875,0,2.673884,5.476734,1.468544,1.18319,2.058211,0,0.011197,0,0,0,0,0,0.000737,0.448463,2.019424,8.511508,1.138068,0.595284,0.754453,0.279065,0.687048,0.018165,0.001352,2.401594,2.261677,1.120894,1.485992,1.10405,0,0.272592,0,0,0.277461,0.568551,0.002735,0.084161,0.601569,0.983876,4.696608,13.53609,18.0655,14.73117,2.871244,13.78657,0,0.168297,19.11856,50.86897,9.148923,14.06075,11.61884,0,0.759199,0,0,0.066341,2.374857,0,0.000851,8.921349,17.50801,49.86466,5.40426,11.39765,10.0853,1.005833,4.729104,0,0.328454,4.021169,16.96503,3.048625,3.044305,1.561586,0,0.341857,0,0,0.033278,1.022938,0,0.006384,1.90844,4.071526,14.73703,13.9402,33.68238,41.51469,9.812802,25.11096,0,14.56423,51.51452,61.94275,14.79667,21.02607,26.20223,0,5.785447,0,0,1.76952,8.300769,0,0,9.951021,17.85673,60.9644,6.046049,10.73085,8.631906,3.313066,7.504945,0,1.460708,25.84249,26.64333,7.795217,12.95623,12.83287,0,3.625674,0,0,1.573417,3.981362,0.014308,0.905245,8.332109,12.35659,37.91025,0.460605,0,0,0.477169,0,1.100934,0,0.35233,0,0.003464,0,0.052307,0,0,0,0,0,0,0,0,0,0.214123,0.612315,3.588522,4.986262,2.036001,0.535399,2.49123,0,0,4.912247,9.367111,1.959764,1.526769,4.055386,0,0.004586,0,0,0.275435,0,0,0,1.703685,1.814081,22.95987
34.10042,4.925889,9.516674,9.09844,2.779766,9.028301,0.000614,0,15.16032,13.38664,5.331248,6.477075,7.885169,0.001493,2.519853,0.00022,0.00022,0.904485,2.023577,0,0.167833,3.44308,4.606092,14.38119,4.31805,8.809913,10.43742,2.946729,9.220883,0.000286,0,14.72443,13.7116,6.020655,6.855738,8.036352,0,2.285882,0,0,0.695976,2.640679,0,0.068635,3.582938,4.557754,13.94757,3.016476,3.772742,1.992673,0.756748,2.273369,0.003351,0.045914,5.555499,5.694684,2.620244,3.649967,3.381374,0.261038,1.15271,0.005077,0.005077,0.773723,1.557246,0.073214,0.25819,1.49289,1.615589,8.649762,16.70889,43.15277,45.90413,10.84802,42.67647,0,10.86587,69.33886,69.36129,25.84767,48.5398,31.89054,0.057263,30.91845,0,0,7.973655,25.74465,0.290571,2.64516,20.52942,25.20784,56.04104,7.773956,26.46312,36.0326,5.771662,18.25078,0,3.117077,15.43603,27.41025,8.826337,12.14111,5.379717,0,7.64436,0,0,2.755491,10.32909,0.07587,1.596437,4.782065,8.240093,16.94308,18.48469,46.75859,44.61406,12.06172,48.60716,0,70.66542,104.9458,67.11495,35.60983,57.08506,44.70262,1.239609,37.98452,0.057386,0.057386,24.81518,30.02884,1.849536,7.339335,23.41159,24.30163,60.53703,7.645388,17.7262,13.71968,6.089108,14.25076,0,10.12097,43.52579,29.46848,15.18452,24.38451,21.07902,1.399457,13.91316,0.08079,0.08079,5.635782,7.95863,0.859605,1.967234,10.49156,17.39996,34.45534,1.42352,1.975246,0.436208,0.725051,0.063103,0.194558,0,2.316238,0.673114,1.342878,0.272782,0.989419,0,0.015492,0,0,0.008093,0.097465,0,0,0.348899,0.427571,4.958756,7.41033,16.35998,13.15175,3.271563,15.67666,0,0,19.35099,26.93728,10.38782,9.743697,16.06161,0,0.93214,0,0,2.619879,5.645073,0,0.375176,9.234869,3.419007,36.4675
44.15063,6.321471,13.03503,12.25528,3.727353,13.68269,0,7.77536,22.89307,16.83759,9.212907,13.98614,11.17205,1.080809,9.17419,0.00132,0.00132,3.075163,5.582874,0.539571,0.835401,3.785083,7.042793,16.25006,6.22248,12.8733,13.21233,3.827548,13.54881,0,7.397982,22.08089,16.15912,10.41871,14.32625,11.35898,0.857756,7.81285,0.000265,0.000265,2.875528,6.744011,0.204112,0.54606,4.078871,7.10367,15.71549,4.299431,9.296329,4.230111,1.53371,3.729452,0.22368,2.63174,11.19945,12.99459,4.965129,6.643084,6.408162,0.703299,5.104457,0.033866,0.033866,1.295565,4.815713,0.581821,1.071426,4.303477,3.833845,13.50531,19.99321,41.22926,46.96435,12.38824,46.4321,0.045873,75.76971,74.43759,73.73188,34.64131,70.1162,32.44261,8.091769,43.6163,0.156922,0.156922,19.31009,37.78962,4.396392,6.043631,16.15807,35.52382,55.18949,9.840087,29.12107,36.37387,5.839406,18.83746,0.085809,58.76192,21.25195,28.21619,11.38708,22.41993,7.051267,1.321945,14.77651,0.013818,0.013818,7.198628,16.914,1.142722,3.853749,4.51656,12.11061,18.10573,20.80179,42.48321,35.52644,13.14925,45.69448,1.78767,120.0258,68.83932,67.82631,41.75622,71.59243,46.25093,21.0408,51.76703,0.860793,0.860793,18.61782,30.32062,13.28536,1.8602,16.45482,40.8364,63.24865,7.872081,16.82385,13.75853,6.322242,12.37777,2.543321,35.24431,34.98421,33.37849,17.08071,29.28481,19.64349,4.684346,16.57172,0.543584,0.543584,6.262202,9.875268,5.123656,5.606092,10.34984,25.55256,31.37974,2.933416,3.360046,1.500787,0.706058,1.16034,0.173534,0.16063,4.272686,10.97667,3.43306,1.025665,3.647655,0,1.612404,0,0,0.24894,0.964569,0,0.120224,3.49953,1.469416,9.859133,12.72324,23.77025,20.58264,4.993728,23.12637,0,14.65713,24.02117,29.10881,20.19645,25.65032,22.9678,2.225613,2.820074,0.002768,0.002768,5.095066,11.96329,1.047258,1.225215,10.25779,5.668419,32.36134
54.20084,7.524546,13.73158,14.25626,4.570552,14.66096,1.680651,26.18981,21.71244,20.28923,10.39569,19.18429,12.098,3.745618,11.61004,0.038244,0.038244,4.13878,6.908227,3.209081,1.703345,4.713645,11.5028,16.62732,7.107082,13.89793,14.45487,4.540031,14.46113,1.29171,23.6136,20.84938,19.94211,11.84404,19.43922,12.50442,3.050735,9.907642,0.076135,0.076135,3.917042,8.298226,1.770498,1.290538,4.875424,11.57387,16.56055,5.646515,13.11335,7.759188,2.72367,8.019179,0.684278,9.584757,17.98237,17.64402,7.99359,9.120116,9.800553,1.665045,11.14106,0.109344,0.109344,2.525871,9.439958,1.938567,1.285548,5.828983,6.109087,17.7388,21.656,43.70395,38.31416,12.1812,40.52506,10.09571,115.0981,57.60233,61.34922,33.84862,79.07984,31.18259,16.5623,48.95207,1.215617,1.215617,16.74094,32.28388,17.51699,10.81474,23.97411,49.75628,45.18072,10.08525,28.874,29.37713,6.700165,18.06465,7.175265,95.39535,16.22192,26.01928,11.19209,28.9869,8.584119,3.244058,15.74588,0.327937,0.327937,7.851275,15.59259,4.428915,7.109135,6.354247,15.99703,17.20299,22.05206,36.95988,35.17614,9.81747,39.79258,19.11128,83.99954,85.78625,42.83745,36.87489,71.8017,42.59834,20.82022,60.02771,3.450109,3.450109,19.17326,36.19839,32.46515,9.846187,29.12397,55.4549,34.97593,8.805481,16.85864,11.84347,5.434565,15.00851,8.677044,35.69365,36.62505,22.17975,15.04315,27.66108,18.21219,8.181366,19.91832,1.414304,1.414304,6.570862,11.50918,10.99391,6.736364,15.34871,27.6143,33.02516,3.761793,4.780299,3.004088,1.407537,4.590613,0.186008,2.252446,3.341992,8.587976,4.140225,2.802929,6.457522,0.303967,6.262241,0,0,1.154043,1.423453,0.255824,0.265915,9.045426,1.124852,13.04049,12.50837,18.17468,24.62661,6.553735,25.77755,2.63965,49.62509,23.01146,33.14304,20.96443,44.04078,20.84045,9.028278,5.169331,0.119035,0.119035,5.699905,13.3566,6.977841,2.409985,9.096336,9.764309,29.33252
64.25105,7.726966,14.21926,13.07905,4.460583,17.5193,6.172689,26.57202,27.45411,16.34692,9.669716,20.9256,14.81837,5.523879,16.49783,0.261768,0.261768,3.947659,9.18282,6.23315,2.720532,6.424394,13.00107,17.78054,7.224256,14.74341,14.25547,4.37404,17.38903,5.213341,23.55965,26.86923,16.12004,11.16213,20.9139,15.16284,4.650797,13.73699,0.466041,0.466041,4.278219,10.14825,5.255758,2.576334,6.926182,12.8293,18.06119,6.981418,14.1747,10.9102,3.653279,12.02141,2.369715,18.41104,22.91239,20.14588,11.02721,12.4366,14.18304,3.58005,15.03671,0.310285,0.310285,3.876902,11.29432,4.22591,1.880484,7.723442,8.926123,18.98047,18.29364,32.3205,38.18927,9.401335,53.7735,22.8927,85.12195,74.98165,44.70516,23.91274,73.3867,35.52852,21.68744,56.97595,3.873381,3.873381,14.40864,44.40583,26.12998,15.38907,29.58242,44.89469,49.40479,9.15271,22.94263,27.63928,5.522391,22.36256,13.0987,71.01556,18.72207,17.88841,9.138723,28.07177,11.79416,6.340676,18.84383,1.471518,1.471518,6.890225,20.39053,6.376846,9.712951,8.562246,14.31592,17.34953,20.59877,35.65179,25.72089,14.09508,50.56776,32.74463,66.27094,60.95132,31.98698,26.38214,59.13804,45.53887,27.76557,56.16161,5.927068,5.927068,17.77332,39.95376,42.25213,14.80456,32.26439,44.05286,32.78072,8.809901,13.64741,10.20703,5.691355,19.28008,16.05119,27.8721,28.59396,19.3373,11.21935,21.90479,22.1147,11.08678,19.71387,2.7481,2.7481,6.417109,11.95289,16.20846,7.553068,19.08649,25.84571,29.2184,3.611014,5.02082,3.499944,1.608159,8.569535,1.011202,3.288265,3.63972,13.7827,7.791603,5.132,9.592074,2.083896,10.93853,0.033778,0.033778,2.867797,1.439977,1.680565,0.300144,10.19745,6.110701,16.2157,14.85311,21.59441,23.35682,6.37449,27.40458,7.688129,63.8282,30.10451,21.54224,17.36097,49.63752,22.5487,13.68077,7.755176,0.800728,0.800728,4.976317,15.11839,14.18567,5.013382,12.60677,14.26346,29.52693
74.30126,9.015366,14.60466,13.76591,5.27484,17.69629,12.00387,24.1163,22.91159,15.98697,8.83414,17.86696,18.10586,6.570143,15.59514,0.850581,0.850581,4.304373,9.656285,9.241854,4.099229,9.083206,13.1028,17.09904,8.252159,14.90934,14.48213,5.393907,17.50082,10.33295,22.02265,21.64569,15.51513,10.37386,17.44014,18.59315,5.774339,13.87424,1.131094,1.131094,4.479372,10.59025,8.460275,3.725332,9.551917,13.06844,17.15279,7.332621,14.53197,13.31743,3.973471,15.06519,6.693595,25.91891,26.95547,20.0902,13.02376,15.95564,15.71233,5.447249,18.19354,0.641971,0.641971,5.129274,13.57619,8.706082,2.857828,10.01345,12.21012,20.44606,19.05433,31.15234,30.55613,15.18073,39.64371,34.63224,69.48316,41.23125,40.16653,20.99654,47.10725,40.62617,22.53501,44.77603,7.794797,7.794797,13.05651,36.63692,35.00432,16.98242,33.97864,37.67242,34.89651,8.926452,22.55942,22.32036,7.904627,16.94951,22.34727,53.52768,12.98876,16.93411,7.841642,21.05857,12.87857,5.998485,16.71374,2.626964,2.626964,6.7725,16.2199,8.510665,9.986688,10.33179,13.5921,12.62293,19.53118,32.59572,24.62684,15.03437,36.97559,48.64094,58.59681,45.795,36.92146,24.27856,38.21066,41.10284,23.18884,46.9417,9.963154,9.963154,7.957658,33.24814,47.99282,13.27906,39.29514,38.85274,44.94548,7.851579,14.3591,9.043433,7.302912,13.4552,22.68936,23.14252,24.57326,20.26542,9.877448,16.72077,20.94823,10.16495,18.29434,4.047913,4.047913,6.474947,9.631282,21.76555,6.05756,17.30095,22.44777,26.68165,3.355999,4.303741,4.071411,1.952167,7.002151,1.842514,3.102259,3.192801,10.23867,11.38313,7.247078,12.03098,2.598441,10.80828,0.15382,0.15382,4.41139,2.00395,4.044201,0.80162,7.547791,5.402568,18.41863,13.36781,21.79774,24.92257,9.004597,31.2232,15.3363,62.68382,23.49339,22.02514,14.83888,40.9421,28.51829,13.95357,7.03028,2.282161,2.282161,4.392969,17.28419,17.06237,5.272217,19.36256,13.0926,29.64873
84.35146,8.329192,15.58576,12.96198,6.127478,16.02304,14.71775,22.55854,22.85133,16.17866,9.24022,16.74045,16.52357,7.521477,15.85157,2.003217,2.003217,5.224435,8.822186,13.13939,3.841172,10.20756,13.81126,15.90109,7.962698,15.50375,13.49986,6.752947,16.00368,12.68505,20.63392,22.05359,15.87428,10.91617,16.31448,16.87788,6.401387,14.10056,2.249427,2.249427,5.255776,9.950322,12.73233,3.580596,10.73657,13.29316,15.9104,7.883099,14.23193,14.95956,4.728231,17.60404,10.62546,29.35759,28.50873,18.60258,13.84441,19.26798,17.16774,7.454637,19.20943,1.297554,1.297554,5.852279,15.31919,11.21236,4.106537,13.25038,14.27415,21.55795,17.35836,35.00986,25.71045,15.3995,30.5069,40.01216,61.92851,43.08153,41.70256,20.36479,39.86078,28.41268,21.92206,45.57695,11.07246,11.07246,20.67159,28.65837,49.74257,15.07732,52.50775,39.83819,33.01443,8.978815,19.88865,20.3908,8.170667,14.37189,22.58897,45.25742,12.85234,17.37364,7.511873,15.51729,9.477177,8.106818,17.70961,4.229246,4.229246,8.640032,13.31294,11.07709,8.696212,14.68756,15.32755,14.15072,17.84261,29.21477,23.0427,14.43602,29.22911,50.13571,60.39485,44.78721,35.15401,22.81312,34.45439,34.8644,21.77774,46.70725,14.02378,14.02378,21.48499,22.08735,63.01053,7.785262,65.33151,51.79164,29.04149,8.17527,14.47842,8.035517,6.29952,9.895736,18.46794,22.6674,23.82426,19.46941,9.890867,15.15451,18.20119,10.40845,18.73999,5.116314,5.116314,6.80745,9.399134,25.20929,6.57372,30.45098,23.46541,21.69818,4.598775,5.252249,6.266457,2.298827,7.19725,2.462922,4.266855,4.124901,13.46233,11.93785,9.229486,12.47291,4.066878,6.371632,0.456396,0.456396,5.059584,2.126236,6.549307,1.663523,13.79091,7.353638,18.31658,16.05275,16.65414,22.13862,9.627111,26.11104,20.67069,47.32326,20.69515,18.71451,13.46828,39.50094,24.13147,16.55928,9.172622,3.964883,3.964883,6.47171,15.04976,28.83022,6.909409,21.15455,14.00914,23.8609
94.40167,9.085464,15.93672,13.0008,6.228955,15.7639,14.13871,21.7816,21.97901,17.22017,9.607063,15.93343,17.04571,7.43767,17.44604,3.339203,3.339203,6.009393,8.487595,13.41741,3.606183,12.85479,15.09354,16.0527,8.624276,16.35566,13.47673,6.600444,15.65325,13.09455,21.05812,20.70684,17.10537,11.12582,15.74824,17.29197,6.960219,15.39202,3.610825,3.610825,6.190179,9.238195,13.18624,3.34698,13.686,14.58089,16.17217,7.86212,14.64483,15.88255,5.299145,19.17488,15.5666,29.16261,29.12246,18.74674,14.05049,21.67189,17.69415,8.6204,19.39737,2.306871,2.306871,6.855268,14.9184,14.14544,4.897329,16.18109,15.39901,21.59259,17.90733,30.60256,24.73896,13.50941,28.97613,29.10353,58.22572,37.2955,40.832,19.40827,34.62774,29.30362,22.46329,44.40193,15.0698,15.0698,18.13484,26.93296,41.67772,13.58826,41.31683,39.73452,31.87085,8.472957,19.45587,20.64706,7.433797,14.55588,18.19158,47.13724,12.26308,18.29876,8.120896,14.25768,9.414585,7.026686,17.80526,5.280893,5.280893,7.932997,12.66731,11.75616,8.019315,13.0974,12.80184,12.21598,17.97248,34.24873,23.49668,15.13672,26.06336,37.95073,58.78944,49.56041,34.27649,23.14753,28.59385,33.12811,32.20719,47.05855,17.65115,17.65115,16.58502,25.43888,42.93964,15.23163,36.56627,42.07901,40.85825,7.325727,14.97302,8.226733,6.356509,9.233875,23.98504,21.89042,22.47632,21.6213,10.24686,16.15549,15.90014,9.620004,17.85057,6.176193,6.176193,7.777609,10.58757,17.73637,6.969613,22.81761,20.28232,21.63083,4.201861,4.930658,6.930458,2.587918,5.802358,4.996939,5.45075,4.973566,5.633553,12.15084,10.26085,12.87562,7.381504,7.828192,1.587965,1.587965,6.933976,4.722996,8.567548,1.672879,17.48908,8.240983,15.03082,14.17382,20.7683,19.50697,8.803592,22.42075,18.53315,45.39679,20.68878,22.4484,13.98948,37.24391,22.39269,17.53688,9.320767,5.524086,5.524086,6.682108,13.00626,25.73729,7.204393,24.79556,12.45286,24.32926
104.4519,8.686284,16.58586,13.00812,6.893387,15.60257,19.26302,22.20602,22.00806,17.98683,9.875084,15.13806,17.70062,8.519764,17.70421,4.975105,4.975105,6.998297,8.97629,13.48231,4.149691,12.18465,14.04751,16.6096,8.311526,16.55827,12.95091,7.280548,15.55758,17.25101,21.39854,20.11499,17.58448,11.23435,15.5468,17.76774,7.93814,16.02843,4.884436,4.884436,7.049185,9.912593,13.11019,3.649,13.6241,13.68611,16.85972,7.812784,15.07438,16.51647,5.836614,20.13431,17.54537,30.16524,30.14256,19.3991,14.10473,22.8901,18.11391,10.81697,20.1646,3.52892,3.52892,7.73433,14.92554,16.4295,5.195616,19.38636,16.96592,22.22529,18.81171,32.83367,24.54093,14.96864,27.6908,50.49689,60.11801,35.42579,39.06103,18.89348,34.84475,28.11471,24.23554,46.38058,19.72737,19.72737,24.35815,27.2072,41.23273,16.98681,41.81511,32.25513,29.9084,7.31454,20.89629,17.39664,8.296013,13.48193,30.44386,47.26357,12.75489,18.53581,8.225706,14.79762,9.940657,8.290977,18.97485,7.599874,7.599874,11.07671,11.86229,11.76604,11.07997,12.24892,10.21018,12.22324,19.47154,29.29406,21.32658,14.70511,26.72582,63.12784,57.25796,51.0696,36.47426,21.64712,30.11784,31.77045,54.52255,45.54116,20.70179,20.70179,24.66025,21.7119,48.79444,12.07515,41.70759,30.1687,35.21779,7.731302,13.87617,7.952315,6.641636,10.47027,25.20667,22.31922,20.24561,20.56522,9.948616,17.07957,15.27348,15.91304,19.16248,7.548904,7.548904,10.02064,8.183031,14.75845,6.728142,23.29738,19.47324,20.29718,5.291312,4.073465,7.378507,2.58934,7.087022,6.715656,5.469457,5.2029,3.1863,11.50923,11.30887,14.45137,7.437767,11.09304,2.237802,2.237802,6.662554,3.822623,9.361329,1.327835,17.71019,9.057982,15.44155,12.08503,18.00091,18.26482,8.620488,21.5135,23.39495,41.54282,19.98797,22.92332,15.57873,31.32219,22.40614,14.86095,9.64296,8.659619,8.659619,8.590396,11.59759,24.3362,7.722266,22.51412,11.91926,25.1339
